firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
Serena,L,Butler,sbutler,sbutler@gabbro.onmicrosoft.com,3312 By the Beach,Los Angeles,91709,CA,United States,IT Support,Chalc0pyrite,999-8888-1234,Administrator,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Feyd,R,Raban,fraban,fraban@gabbro.onmicrosoft.com,3313 By the Beach,Los Angeles,91709,CA,United States,IT Support,Chalc0pyrite,999-8888-1235,Administrator,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Thufir,A,Hawat,thawat,thawat@gabbro.onmicrosoft.com,3314 By the Beach,Los Angeles,91709,CA,United States,IT Support,Chalc0pyrite,999-8888-1236,Administrator,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
James,A,Hutton,jhutton,jhutton@gabbro.onmicrosoft.com,3315 By the Beach,Los Angeles,91709,CA,United States,HR ,Chalc0pyrite,999-8888-1237,Pooled Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Charles,A,Darwin,cdarwin,cdarwin@gabbro.onmicrosoft.com,3316 By the Beach,Los Angeles,91709,CA,United States,HR ,Chalc0pyrite,999-8888-1238,Pooled Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
William,A,Smith,wsmith,wsmith@gabbro.onmicrosoft.com,3317 By the Beach,Los Angeles,91709,CA,United States,HR ,Chalc0pyrite,999-8888-1239,Pooled Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
John,A,Muir,jmuir,jmuir@gabbro.onmicrosoft.com,3318 By the Beach,Los Angeles,91709,CA,United States,HR ,Chalc0pyrite,999-8888-1240,Pooled Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Charles,A,Lyell,mlyell,mlyell@gabbro.onmicrosoft.com,3319 By the Beach,Los Angeles,91709,CA,United States,Engineeering,Chalc0pyrite,999-8888-1241,Pooled Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Mary,A,Lyell,clyell,clyell@gabbro.onmicrosoft.com,3320 By the Beach,Los Angeles,91709,CA,United States,Engineeering,Chalc0pyrite,999-8888-1242,Dedicated Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Alfred,A,Wegener,awegener,awegener@gabbro.onmicrosoft.com,3321 By the Beach,Los Angeles,91709,CA,United States,Engineeering,Chalc0pyrite,999-8888-1243,Dedicated Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Inge,A,Lehman,ilehman,ilehman@gabbro.onmicrosoft.com,3322 By the Beach,Los Angeles,91710,CA,United States,Engineeering,Chalc0pyrite,999-8888-1244,Dedicated Desktop User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
George,A,Cuvier,gcuvier,gcuvier@gabbro.onmicrosoft.com,3323 By the Beach,Los Angeles,91711,CA,United States,Mobile Users,Chalc0pyrite,999-8888-1245,App User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Marie,A,Tharp,mtharp,mtharp@gabbro.onmicrosoft.com,3324 By the Beach,Los Angeles,91712,CA,United States,Mobile Users,Chalc0pyrite,999-8888-1246,App User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Charles,A,Richter,crichter,crichter@gabbro.onmicrosoft.com,3325 By the Beach,Los Angeles,91713,CA,United States,Mobile Users,Chalc0pyrite,999-8888-1247,App User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
Florence,A,Bascom,fbascom,fbascom@gabbro.onmicrosoft.com,3326 By the Beach,Los Angeles,91714,CA,United States,Mobile Users,Chalc0pyrite,999-8888-1248,App User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
John,W,Powell,jpowell,jpowell@gabbro.onmicrosoft.com,3327 By the Beach,Los Angeles,91715,CA,United States,Mobile Users,Chalc0pyrite,999-8888-1249,App User,WVD Labs,"OU=Users,OU=GabbroCorp,DC=gabbro,DC=onmicrosoft,DC=com"
